cNo, cName, credit, offer, prerequisites
CS 170, Intro to Computer Science I,4, F & S, 
CS 171, Intro to Computer Science II,3, F & S, CS 170
CS 224, Discrete Structures,3, F & S, CS 170 & MATH 112
CS 255, Computer Organization / Assembly Programming,3, F & S, CS 171
CS 323, Data Structures and Algorithms,3, F & S, CS 171 & CS 224
CS 325, Artificial Intelligence,3, S, CS 323
CS 329, Computational Linguistics,3,R, CS 171
CS 355, Computer Architecture,3,S, CS 171 & CS 255
CS 370,Computer Science Practicum,3,S,CS 255 & CS 224
CS 377,Database Systems,3,F & S,CS 171
CS 378,Data Mining,3,S,CS 323
CS 424,Theory of Computing,3,S,CS 224 & CS 323
CS 450,Systems Programming,3,F,CS 171 & CS 255
CS 452,Operating Systems,3,S,CS 450
CS 453,Computer Security,3,R,CS 450
CS 455,Intro to Computer Networking,3,R,CS 450
CS 456,Compiler Construction,4,F,CS 255 & CS 323 & CS 424
MATH 111,Calculus I ,3,F & S,
MATH 112,Calculus II,3,F & S,MATH 111
MATH 211,Multivariable Calculus,3,F & S,MATH 112
MATH 212,Differential Equations,3,F & S,MATH 112
MATH 221,Linear Algebra,4,F & S,MATH 112
MATH 250,Foundations of Mathematics,3,F & S,MATH 112
MATH 270,History and Philosphy of Math,3,R,MATH 112
MATH 315,Numerical Analysis,3,F & S,MATH 221 & CS 170
MATH 318,Complex Variables,3,F,MATH 211 & MATH 250
MATH 321,Abstract Vector Spaces,3,S,MATH 250
MATH 328,Number Theory,3,R,MATH 250 or MATH 276
MATH 330,Intro to Combinatorics,3,R,MATH 221 & MATH 250
MATH 344,Differential Geometry,3,R,MATH 221 & MATH 250 & MATH 221
MATH 345,Mathematical Modeling,3,R,CS 170 & MATH 212
MATH 346,Intro to Optimization Theory,3,F & S,CS 170 & MATH 221
MATH 347,Intro to Nonlinear Optimization,3,R,CS 170 & MATH 221 & MATH 250 & MATH 211
MATH 351,Partial Differential Equations,3,F & S,MATH 211 & MATH 212 & MATH 221
MATH 352,PDE's in Action,3,R,MATH 211 & MATH 212 & MATH 221
MATH 361,Probability and Statistics I ,3,F,MATH 211
MATH 362,Probability and Statistics II,3,S,MATH 361
MATH 411,Real Analysis I,3,F,MATH 211 & MATH 250 & MATH 221
MATH 412,Real Analysis II,3,S,MATH 411
MATH 421,Abstract Algebra I,3,F,MATH 221 & MATH 250
MATH 422,Abstract Algebra II,3,S,MATH 421
MATH 425,Mathematical Economics,3,F & S,MATH 211 & ECON 201
ECON 201,,,,
